,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,UTG,UTG,UTG,UTG,UTG,UTG,UTG,UTG,UTG,UTG,UTG,UTG,UTG
K,UTG,UTG,UTG,UTG,UTG,UTG,UTG,UTG,UTG,UTG,CO,CO,CO
Q,UTG,UTG,UTG,UTG,UTG,UTG,UTG,CO,CO,CO,BTN,BTN,BTN
J,UTG,UTG,UTG,UTG,UTG,HJ,CO,CO,BTN,BTN,BTN,SB,-
T,UTG,HJ,CO,CO,UTG,UTG,HJ,BTN,BTN,SB,-,-,-
9,HJ,CO,BTN,BTN,BTN,UTG,HJ,CO,BTN,SB,-,-,-
8,CO,BTN,SB,SB,BTN,SB,UTG,CO,BTN,SB,-,-,-
7,BTN,SB,-,-,-,-,-,UTG,BTN,BTN,SB,-,-
6,BTN,-,-,-,-,-,-,-,UTG,BTN,SB,-,-
5,CO,-,-,-,-,-,-,-,-,UTG,BTN,SB,-
4,BTN,-,-,-,-,-,-,-,-,-,HJ,-,-
3,BTN,-,-,-,-,-,-,-,-,-,-,BTN,-
2,-,-,-,-,-,-,-,-,-,-,-,-,BTN